,train_loss,GFN_losses
0,1.6250080064462777,0
1,1.1876642087016243,0
2,0.9311416777558982,0
3,0.7681642586049943,0
4,0.674439895552949,0
5,0.5960795720354818,0
6,0.5464693054604454,0
7,0.498320057131231,0
8,0.4700319034318193,0
9,0.4433250850953233,0
10,0.4163812950205879,0
11,0.39769811980640546,0
12,0.3732332503928925,0
13,0.357733178252991,0
14,0.3496402222127579,0
15,0.3340858165353251,0
16,0.3230895151535924,0
17,0.32379012026440224,0
18,0.3176050245666656,0
19,0.305105739103529,0
20,0.2999851439421931,0
21,0.2938417699485541,0
22,0.2954046494854144,0
23,0.28216070289048145,0
24,0.284616865289097,0
25,0.27442201919639453,0
26,0.2744752753990146,0
27,0.2690022924123481,0
28,0.26990844583073365,0
29,0.2613334150883717,0
30,0.25785835596700063,0
