load_file,dataset,corruption_name,corruption_severity,Method,BNN,use_pretrained,Tune_last_layer_only,augment_test,seed,val_loss,val_accuracy,base_aic0,base_aic1,base_aic2,up0,up1,up2,elbo,ece
../../../saved_checkpoint/cifar100/cifar100_bottomup_2.model,cifar100c,gaussian_noise,1,bottomup,FALSE,FALSE,FALSE,FALSE,,2.641154318,43.06,52.02,50.13,48.93,15.18,11.39,9.39,0,0.199254587
../../../saved_checkpoint/cifar100/cifar100_bottomup_1.model,cifar100c,gaussian_noise,1,bottomup,FALSE,FALSE,FALSE,FALSE,,2.785458956,39.46,48.03,45.73,44.62,14.07,10.29,8.7,0,0.209348112
../../../saved_checkpoint/cifar100/cifar100_bottomup_2.model,cifar100c,gaussian_noise,2,bottomup,FALSE,FALSE,FALSE,FALSE,,4.230673627,25.39,38.64,35.47,33.75,17.77,13.4,11.22,0,0.311662912
../../../saved_checkpoint/cifar100/cifar100_bottomup_1.model,cifar100c,gaussian_noise,2,bottomup,FALSE,FALSE,FALSE,FALSE,,4.181887685,23.55,34.95,31.92,30.34,15.68,11.59,9.51,0,0.320288986
../../../saved_checkpoint/cifar100/cifar100_bottomup_2.model,cifar100c,gaussian_noise,3,bottomup,FALSE,FALSE,FALSE,FALSE,,5.533017298,15.23,32.62,28.23,26.01,21.11,15.84,13.04,0,0.363333106
../../../saved_checkpoint/cifar100/cifar100_bottomup_1.model,cifar100c,gaussian_noise,3,bottomup,FALSE,FALSE,FALSE,FALSE,,5.132612389,15.36,28.8,25.43,23.51,16.44,12.13,9.99,0,0.364827603
../../../saved_checkpoint/cifar100/cifar100_bottomup_2.model,cifar100c,gaussian_noise,4,bottomup,FALSE,FALSE,FALSE,FALSE,,6.07572661,12.01,31.07,26.5,24.3,21.82,16.63,13.95,0,0.374533117
../../../saved_checkpoint/cifar100/cifar100_bottomup_1.model,cifar100c,gaussian_noise,4,bottomup,FALSE,FALSE,FALSE,FALSE,,5.512141163,12.51,27.3,23.41,21.66,17.31,12.88,10.75,0,0.371436864
../../../saved_checkpoint/cifar100/cifar100_bottomup_2.model,cifar100c,gaussian_noise,5,bottomup,FALSE,FALSE,FALSE,FALSE,,6.506923346,9.57,30.76,26.02,23.41,23.59,18.29,15.4,0,0.377116024
../../../saved_checkpoint/cifar100/cifar100_bottomup_1.model,cifar100c,gaussian_noise,5,bottomup,FALSE,FALSE,FALSE,FALSE,,5.769349007,10.42,26.21,22.32,20.4,18.15,13.6,11.5,0,0.37105912
../../../saved_checkpoint/cifar100/cifar100_bottomup_2.model,cifar100c,snow,1,bottomup,FALSE,FALSE,FALSE,FALSE,,1.482409648,61.8,66.3,65.21,64.62,10.4,7.75,6.46,0,0.102632381
../../../saved_checkpoint/cifar100/cifar100_bottomup_1.model,cifar100c,snow,1,bottomup,FALSE,FALSE,FALSE,FALSE,,1.489241938,60.87,65.65,64.57,64.04,10.16,7.54,6.55,0,0.095661439
