1,165,10684703160.630302
2,330,10707540532.751514
3,495,10734189586.618181
4,660,10763388009.503031
5,825,10777316041.696970
6,990,10806995310.157576
7,1155,10839083914.084848
8,1320,10863113774.545454
9,1485,10879742386.424242
10,1650,10910652229.818182
11,1815,10930111916.218182
12,1980,10954098092.218182
13,2145,10979902259.200001
14,2310,10996562410.278788
15,2475,11025328934.787878
16,2640,11045507394.715151
17,2805,11069101124.266666
18,2970,11092644237.187880
19,3135,11118260919.078789
20,3300,11136968704.000000
21,3465,11160944422.787878
22,3630,11184052012.993938
23,3795,11212136932.072727
24,3960,11232870431.030304
25,4125,11257733076.557575
26,4290,11279333878.690908
27,4455,11300538827.248486
28,4620,11325324058.375757
29,4785,11347375048.145454
30,4950,11373543827.393940
31,5115,11403058598.012121
32,5280,11425301448.145454
33,5445,11452413107.975758
34,5610,11465272220.703030
35,5775,11495972547.490910
36,5940,11513206914.327272
37,6105,11542281240.824242
38,6270,11559229626.181818
39,6435,11581754808.630302
40,6600,11611809661.672728
41,6765,11631918303.418182
42,6930,11657841837.769697
43,7095,11678453424.872726
44,7260,11707036957.478788
45,7425,11733321200.484848
46,7590,11753957450.472727
47,7755,11767917903.127274
48,7920,11797601155.878788
49,8085,11817638806.496969
50,8250,11838127432.921211
51,8415,11857523234.133333
52,8580,11871656277.333334
53,8745,11914423866.957575
54,8910,11931972198.400000
55,9075,11950120854.496969
56,9240,11964911864.242424
57,9405,11996162085.236364
58,9570,12017195051.442425
59,9735,12029697241.212122
60,9900,12066188958.254545
61,10065,12080356438.884848
62,10230,12097297445.236364
63,10395,12119615910.012121
64,10560,12150502114.521212
65,10725,12162718962.036364
66,10890,12183892489.309092
67,11055,12203412268.993938
68,11220,12220106963.006062
69,11385,12246034152.727272
70,11550,12260647780.848484
71,11715,12286140825.600000
72,11880,12296849985.163637
73,12045,12319296083.781818
74,12210,12341671408.484848
75,12375,12355545454.157576
76,12540,12384080672.581818
77,12705,12407343916.993938
78,12870,12425009474.715151
79,13035,12441112315.345455
80,13200,12459513638.787878
81,13365,12481549752.630302
82,13530,12504056751.321213
83,13695,12524650297.406061
84,13860,12553700023.078789
