Method,ood_macro_f1,ood_precision_list,ood_recall_list,ood_bal_acc_list
MLP_GFN_IECU_MLP_GFN_upNdown_False_20220924164117,0.556056290737066,0.5397569039922261,0.6959237321840125,0.5397569039922261
MLP_GFN_IECU_MLP_GFN_bottomup_False_20220924143304,0.53737232378798,0.5278953008624323,0.6807558582987356,0.5278953008624323
ARMMLP_IECU_ARMMLP_Contextual_20220924001210,0.5230170259011853,0.5197053656772327,0.6369831296644469,0.5197053656772327
ARMMLP_IECU_ARMMLP_Concrete_20220923221017,0.5139381082473441,0.5146349800616249,0.5980240899841875,0.5146349800616249
MLP_GFN_IECU_MLP_GFN_topdown_False_20220924092129,0.4999871660486685,0.5065391128256626,0.5339289605145029,0.5065391128256626
MLP_GFN_IECU_MLP_GFN_none_False_20220924025457,0.4923419281882291,0.5021788129226146,0.4998975255443086,0.5021788129226146
MLP_GFN_IECU_MLP_GFN_random_False_20220924013941,0.4900448042753214,0.5003009701889478,0.4998961856613623,0.5003009701889478
