method,al_f1_score,al_recall_score,al_precision_score,al_balAcc_score,dempster_shafer_uncertainty
_AL_IECU_ARMMLP_Concrete,0.4881918819188192,0.5,0.47692862292718097,0.5,0.11658157401876383
_AL_IECU_ARMMLP_Contextual.csv,0.4881918819188192,0.5,0.47692862292718097,0.5,0.18674490891479167
_AL_IECU_MLP_GFN_none,0.5029194625321858,0.507056642101285,0.6439065510597303,0.507056642101285,0.23392184659790063
_AL_IECU_MLP_GFN_random,0.4881918819188192,0.5,0.47692862292718097,0.5,0.16778566476964044
_AL_IECU_MLP_GFN_topdown,0.4881918819188192,0.5,0.47692862292718097,0.5,0.24608797353294615
_AL_IECU_MLP_GFN_bottomup,0.4881918819188192,0.5,0.47692862292718097,0.5,0.26504242655351467
_AL_IECU_MLP_GFN_upNdown,0.4881918819188192,0.5,0.47692862292718097,0.5,0.20882996479237473
