,train_loss,test_acc,test_error,GFN_losses,test_acc_OOD,test_error_OOD
0,2.493392914533615,0.1972,8028,0,0.19719999999999996,8028.0
1,2.2614458799362183,0.1972,8028,0,0.19719999999999996,8028.0
2,2.2449384331703186,0.1972,8028,0,0.19719999999999996,8028.0
3,2.239417552947998,0.1972,8028,0,0.19719999999999996,8028.0
4,2.240083545446396,0.1954,8046,0,0.19583333333333333,8046.0
5,2.24397012591362,0.193,8069,0,0.1936,8069.0
6,2.2471716701984406,0.1917,8083,0,0.19213333333333335,8083.0
7,2.2371452152729034,0.1914,8086,0,0.19196666666666665,8086.0
8,2.236471325159073,0.1922,8078,0,0.1926,8078.0
9,2.234559029340744,0.1925,8075,0,0.19310000000000002,8075.0
10,2.2293941378593445,0.1932,8068,0,0.19346666666666668,8068.0
11,2.2067310512065887,0.1937,8063,0,0.19383333333333333,8063.0
12,2.1118655800819397,0.2075,7925,0,0.19776666666666667,7925.0
13,2.026844024658203,0.2025,7975,0,0.19646666666666668,7975.0
14,2.00993175804615,0.1798,8202,0,0.1577666666666667,8202.0
15,1.8779751360416412,0.2054,7946,0,0.1701,7946.0
16,1.7469217032194138,0.1556,8444,0,0.14066666666666666,8444.0
17,1.654974490404129,0.2091,7908,0,0.17036666666666667,7908.0
18,1.539789855480194,0.1918,8082,0,0.14936666666666668,8082.0
19,1.5349483489990234,0.1688,8312,0,0.13613333333333336,8312.0
20,1.510869950056076,0.2316,7684,0,0.17436666666666667,7684.0
21,1.32539801299572,0.2209,7791,0,0.14763333333333334,7791.0
22,1.1114028096199036,0.3109,6891,0,0.2085,6891.0
23,1.0188577994704247,0.3026,6974,0,0.2048333333333333,6974.0
24,0.8948601335287094,0.3035,6965,0,0.2104666666666667,6965.0
25,0.905770443379879,0.3283,6717,0,0.2286,6717.0
26,0.8390794470906258,0.3599,6401,0,0.2481,6401.0
27,0.8161002993583679,0.3251,6749,0,0.20006666666666664,6749.0
28,0.7050263658165932,0.3269,6731,0,0.21386666666666665,6731.0
29,0.5904640033841133,0.3884,6115,0,0.25243333333333334,6115.0
30,0.5143355242908001,0.4136,5864,0,0.25520000000000004,5864.0
31,0.4907008707523346,0.4108,5891,0,0.25286666666666663,5891.0
32,0.40174107253551483,0.4141,5859,0,0.25830000000000003,5859.0
33,0.35354436933994293,0.4282,5718,0,0.2706,5718.0
34,0.35424515791237354,0.3956,6044,0,0.25,6044.0
35,0.38077761977910995,0.3857,6143,0,0.245,6143.0
36,0.37684326618909836,0.3727,6273,0,0.22213333333333332,6273.0
37,0.3815913088619709,0.4114,5886,0,0.2558333333333333,5886.0
38,0.30709173530340195,0.4399,5601,0,0.27253333333333335,5601.0
39,0.3170931786298752,0.4332,5668,0,0.2536,5668.0
40,0.2986214105039835,0.4454,5546,0,0.2655666666666667,5546.0
41,0.23745758458971977,0.4657,5343,0,0.27163333333333334,5343.0
42,0.23340899497270584,0.4252,5748,0,0.24383333333333335,5748.0
43,0.2427666261792183,0.4493,5507,0,0.2712333333333333,5507.0
44,0.1987388301640749,0.469,5310,0,0.2978,5310.0
45,0.18054395355284214,0.4693,5306,0,0.2796,5306.0
46,0.15581505466252565,0.4678,5322,0,0.27066666666666667,5322.0
47,0.12316667661070824,0.4885,5115,0,0.2768,5115.0
48,0.11406395398080349,0.4726,5274,0,0.27299999999999996,5274.0
49,0.1286990037187934,0.425,5750,0,0.2657333333333333,5750.0
50,0.14094928931444883,0.4435,5565,0,0.266,5565.0
51,0.17976187448948622,0.4509,5490,0,0.26416666666666666,5490.0
52,0.2403000444173813,0.456,5440,0,0.25556666666666666,5440.0
53,0.27463287860155106,0.4645,5355,0,0.2876666666666667,5355.0
54,0.268212903290987,0.4956,5044,0,0.28506666666666663,5044.0
55,0.18795338366180658,0.4626,5374,0,0.27076666666666666,5374.0
56,0.17967061325907707,0.4852,5147,0,0.2771333333333334,5147.0
57,0.16130323614925146,0.4878,5122,0,0.2786666666666667,5122.0
58,0.11472312547266483,0.4921,5079,0,0.2928,5079.0
59,0.1076888469979167,0.4754,5246,0,0.2828,5246.0
60,0.1280408874154091,0.4937,5063,0,0.2853333333333334,5063.0
61,0.13308309484273195,0.489,5110,0,0.264,5110.0
62,0.11831989698112011,0.5,5000,0,0.2844666666666667,5000.0
63,0.10365612618625164,0.502,4980,0,0.26816666666666666,4980.0
64,0.09737341338768601,0.5022,4978,0,0.2760666666666667,4978.0
65,0.10490122716873884,0.5059,4941,0,0.29046666666666665,4941.0
66,0.0930561488494277,0.5312,4688,0,0.307,4688.0
67,0.105651980265975,0.5297,4703,0,0.2944,4703.0
68,0.08836580533534288,0.5235,4765,0,0.3012333333333333,4765.0
69,0.09102390892803669,0.527,4730,0,0.30633333333333335,4730.0
70,0.08132990496233106,0.5187,4812,0,0.3088,4812.0
71,0.062138861045241356,0.498,5020,0,0.3052,5020.0
72,0.05681830062530935,0.4885,5115,0,0.28663333333333335,5115.0
73,0.05399866634979844,0.5227,4772,0,0.3015,4772.0
74,0.06848853547126055,0.5325,4675,0,0.30373333333333336,4675.0
75,0.07462710002437234,0.5123,4877,0,0.3065333333333333,4877.0
76,0.10376426670700312,0.5079,4921,0,0.2903666666666667,4921.0
77,0.1336442232131958,0.4849,5151,0,0.28826666666666667,5151.0
78,0.13583850860595703,0.4997,5003,0,0.2937,5003.0
79,0.12542257690802217,0.5219,4781,0,0.299,4781.0
80,0.1111596878618002,0.544,4560,0,0.2991333333333333,4560.0
81,0.07366255670785904,0.5277,4723,0,0.29250000000000004,4723.0
82,0.06696316367015243,0.5504,4496,0,0.3096333333333333,4496.0
83,0.05752759124152362,0.5492,4508,0,0.3012666666666666,4508.0
84,0.0641152635216713,0.56,4399,0,0.3333,4399.0
85,0.056007462088018656,0.5515,4485,0,0.32576666666666665,4485.0
86,0.04342946317046881,0.5578,4422,0,0.3216,4422.0
87,0.0743615950923413,0.5471,4529,0,0.3174,4529.0
88,0.06582078477367759,0.5452,4548,0,0.3205,4548.0
89,0.07329861866310239,0.5518,4482,0,0.3239666666666667,4482.0
90,0.1278907977975905,0.4865,5135,0,0.3020333333333333,5135.0
91,0.14887359831482172,0.4877,5123,0,0.29686666666666667,5123.0
92,0.16944245714694262,0.5187,4812,0,0.30526666666666663,4812.0
93,0.19501471519470215,0.5341,4659,0,0.2966,4659.0
94,0.1464158482849598,0.5601,4399,0,0.31793333333333335,4399.0
95,0.07517393911257386,0.5791,4209,0,0.31516666666666665,4209.0
96,0.042036832543089986,0.5801,4199,0,0.3121,4199.0
97,0.024500648607499897,0.5843,4157,0,0.31296666666666667,4157.0
98,0.05431126232724637,0.3724,6275,0,0.26666666666666666,6275.0
99,0.11482855165377259,0.4943,5057,0,0.29623333333333335,5057.0
100,0.11044722842052579,0.5819,4181,0,0.31966666666666665,4181.0
101,0.11599070206284523,0.589,4110,0,0.33559999999999995,4110.0
102,0.073785116430372,0.5724,4276,0,0.32549999999999996,4276.0
103,0.08866306976415217,0.5654,4346,0,0.3124666666666666,4346.0
104,0.06014535762369633,0.574,4260,0,0.31673333333333337,4260.0
105,0.06860551924910396,0.576,4240,0,0.3216666666666667,4240.0
106,0.039877226983662695,0.5674,4326,0,0.31743333333333335,4326.0
107,0.02753822924569249,0.5825,4175,0,0.32913333333333333,4175.0
108,0.027130457456223667,0.5911,4089,0,0.3269,4089.0
109,0.020757334714289755,0.5953,4046,0,0.32763333333333333,4046.0
110,0.04687354821362533,0.5789,4211,0,0.32336666666666664,4211.0
111,0.08913124538958073,0.5832,4167,0,0.3232,4167.0
112,0.06193643237929791,0.5859,4141,0,0.3245,4141.0
113,0.05215557408519089,0.596,4040,0,0.3399666666666667,4040.0
114,0.05723726795986295,0.5882,4118,0,0.3266666666666667,4118.0
115,0.07778504537418485,0.572,4280,0,0.32336666666666664,4280.0
116,0.07869476138148457,0.573,4270,0,0.31649999999999995,4270.0
117,0.09085644385777414,0.5682,4318,0,0.31839999999999996,4318.0
118,0.13106489810161293,0.5464,4536,0,0.30296666666666666,4536.0
119,0.10718370461836457,0.5656,4344,0,0.31639999999999996,4344.0
120,0.05344369600061327,0.5651,4348,0,0.3108,4348.0
121,0.036431964952498674,0.5692,4308,0,0.3196333333333333,4308.0
122,0.03828256402630359,0.5778,4222,0,0.3149,4222.0
123,0.014027123572304845,0.5873,4127,0,0.3175,4127.0
124,0.021646288048941642,0.5906,4094,0,0.32786666666666664,4094.0
125,0.009242531581548974,0.5868,4132,0,0.32683333333333336,4132.0
126,0.011349636391969398,0.5903,4096,0,0.3311,4096.0
127,0.014458943798672408,0.6027,3973,0,0.3373333333333333,3973.0
128,0.0027810885512735695,0.5982,4018,0,0.3336666666666667,4018.0
129,0.004707898828200996,0.6006,3994,0,0.3345666666666667,3994.0
130,0.0036345241824164987,0.5971,4029,0,0.33569999999999994,4029.0
131,0.00281221981276758,0.6013,3987,0,0.33816666666666667,3987.0
132,0.0016668139942339621,0.6088,3912,0,0.3411666666666667,3912.0
133,0.0015780123867443763,0.6074,3925,0,0.3408333333333333,3925.0
134,0.0009144530413323082,0.6099,3901,0,0.33983333333333327,3901.0
135,0.00058446774710319,0.61,3900,0,0.33966666666666673,3900.0
136,0.0010845355463970918,0.6104,3895,0,0.34073333333333333,3895.0
137,0.001852141405834118,0.6103,3897,0,0.3417333333333334,3897.0
138,0.0007979138208611403,0.6004,3995,0,0.34149999999999997,3995.0
139,0.0034051961338263936,0.6062,3938,0,0.34180000000000005,3938.0
140,0.0009118645175476559,0.6072,3928,0,0.3415333333333333,3928.0
141,0.005063835389591986,0.5949,4051,0,0.3317,4051.0
142,0.008757085626712069,0.5748,4252,0,0.3192333333333333,4252.0
143,0.03643058984016534,0.5892,4108,0,0.3273,4108.0
144,0.0180679069890175,0.5921,4079,0,0.3213,4079.0
145,0.03530146804405376,0.5753,4247,0,0.3126666666666667,4247.0
146,0.10187775548547506,0.5709,4291,0,0.30643333333333334,4291.0
147,0.12209803320001811,0.5752,4248,0,0.3252333333333333,4248.0
148,0.09022558759897947,0.546,4540,0,0.29916666666666664,4540.0
149,0.11466946359723806,0.5686,4314,0,0.3141,4314.0
150,0.07576517085544765,0.5728,4272,0,0.31266666666666665,4272.0
151,0.14254629472270608,0.5634,4366,0,0.3147333333333333,4366.0
