,train_loss,test_acc,test_error,GFN_losses,test_acc_OOD,test_error_OOD
0,2.1429419815540314,0.1003,8997,0,0.09833333333333333,8997.0
1,1.6056696772575378,0.1173,8827,0,0.11213333333333332,8827.0
2,1.065369188785553,0.1676,8324,0,0.11403333333333333,8324.0
3,0.6379472613334656,0.1137,8863,0,0.1135,8863.0
4,0.3559754006564617,0.326,6739,0,0.12566666666666668,6739.0
5,0.21359806694090366,0.525,4750,0,0.11123333333333334,4750.0
6,0.15342797804623842,0.4263,5737,0,0.16333333333333333,5737.0
7,0.11669304501265287,0.6794,3206,0,0.1474,3206.0
8,0.11513916729018092,0.7726,2274,0,0.12250000000000001,2274.0
9,0.19350010715425014,0.7963,2037,0,0.13183333333333333,2037.0
10,0.25636215694248676,0.3384,6616,0,0.11323333333333334,6616.0
11,0.14392948150634766,0.5448,4552,0,0.12426666666666668,4552.0
12,0.09260494820773602,0.8043,1956,0,0.18256666666666668,1956.0
13,0.05545619293116033,0.8608,1392,0,0.1661,1392.0
14,0.02417608560062945,0.901,989,0,0.13876666666666668,989.0
15,0.024673956213518977,0.8473,1526,0,0.122,1526.0
16,0.03115465334849432,0.738,2620,0,0.10393333333333334,2620.0
17,0.04436231852741912,0.8272,1727,0,0.14803333333333332,1727.0
18,0.012199894568766467,0.8878,1121,0,0.15156666666666666,1121.0
19,0.01712921739090234,0.9017,983,0,0.14226666666666668,983.0
20,0.014090455020777881,0.8948,1051,0,0.16443333333333332,1051.0
21,0.010828041689819656,0.9102,897,0,0.13516666666666666,897.0
22,0.0089732772539719,0.8676,1323,0,0.1529,1323.0
23,0.01650952995987609,0.8684,1316,0,0.14906666666666665,1316.0
24,0.022938184905797243,0.908,919,0,0.16993333333333335,919.0
25,0.0074088714172830805,0.8093,1906,0,0.14776666666666669,1906.0
26,0.023428550164680928,0.8975,1025,0,0.15566666666666665,1025.0
27,0.03554350763442926,0.8766,1233,0,0.1401,1233.0
28,0.042739370139315724,0.8058,1942,0,0.1746,1942.0
29,0.14261063776211813,0.6522,3478,0,0.11866666666666666,3478.0
30,0.07938507874496281,0.8576,1423,0,0.12546666666666664,1423.0
31,0.05781977821607143,0.8931,1069,0,0.14836666666666667,1069.0
32,0.02037498605204746,0.843,1570,0,0.14073333333333335,1570.0
33,0.026087411650223657,0.907,929,0,0.1578,929.0
34,0.011369524378096685,0.8952,1048,0,0.16290000000000002,1048.0
35,0.0062322150624822825,0.9258,742,0,0.15456666666666666,742.0
36,0.004716658506367821,0.9111,888,0,0.13936666666666667,888.0
37,0.004044615125167184,0.8499,1501,0,0.10623333333333333,1501.0
38,0.001793872557755094,0.9041,958,0,0.11506666666666669,958.0
39,0.01065308447505231,0.9139,860,0,0.14629999999999999,860.0
40,0.02613064131583087,0.8764,1236,0,0.14513333333333334,1236.0
41,0.08437820430845022,0.6488,3511,0,0.121,3511.0
42,0.06555653212126344,0.7581,2419,0,0.1559,2419.0
43,0.15816032770089805,0.8565,1434,0,0.15209999999999999,1434.0
44,0.09368166048079729,0.848,1520,0,0.1777666666666667,1520.0
45,0.04889772809110582,0.7806,2194,0,0.15896666666666667,2194.0
46,0.0333546029869467,0.8547,1452,0,0.14336666666666667,1452.0
47,0.024338433460798115,0.9061,938,0,0.1429,938.0
48,0.006980643229326233,0.9194,806,0,0.16963333333333333,806.0
49,0.003654822605312802,0.9344,655,0,0.1744,655.0
50,0.0031816867704037577,0.9338,662,0,0.1717,662.0
51,0.0027815883222501725,0.9382,617,0,0.17173333333333332,617.0
52,0.0016790964873507619,0.9455,544,0,0.17003333333333334,544.0
53,0.0009044834041560534,0.9473,526,0,0.16723333333333334,526.0
54,0.0006971734765102156,0.949,510,0,0.16593333333333335,510.0
55,0.0006850397294329014,0.9491,508,0,0.16436666666666666,508.0
56,0.00036032142270414624,0.9483,516,0,0.16403333333333334,516.0
57,0.0003261419315094827,0.9491,508,0,0.16426666666666667,508.0
58,0.00027332425452186726,0.9494,505,0,0.16453333333333334,505.0
59,0.00033564300974830985,0.9499,501,0,0.16616666666666666,501.0
60,0.00018914929660240887,0.9507,493,0,0.1662,493.0
61,0.0002151688349840697,0.9499,501,0,0.1661,501.0
62,0.00024985187155834865,0.9501,499,0,0.16503333333333334,499.0
63,0.00021400956757133827,0.9498,502,0,0.16496666666666668,502.0
64,0.00016528828291484388,0.9507,493,0,0.16516666666666666,493.0
65,0.00019999955748062348,0.9509,491,0,0.16553333333333334,491.0
66,0.0002531229338273988,0.9511,489,0,0.16543333333333332,489.0
67,0.00012518604216893436,0.9502,497,0,0.16513333333333333,497.0
68,0.00014523143909173086,0.9511,489,0,0.16423333333333334,489.0
69,0.0001509085623183637,0.951,490,0,0.165,490.0
70,0.00016558515289943898,0.9512,487,0,0.16353333333333334,487.0
71,0.00014106760409049457,0.951,490,0,0.16296666666666668,490.0
72,0.0001495370888733305,0.9508,492,0,0.16473333333333331,492.0
73,0.00014440700488194125,0.9511,489,0,0.16376666666666664,489.0
74,0.00011928517596970778,0.9506,494,0,0.16463333333333333,494.0
75,0.00013039956229476957,0.9511,489,0,0.16390000000000002,489.0
76,7.99648282736598e-05,0.9507,493,0,0.1639,493.0
77,0.0001679257875366602,0.9506,494,0,0.16396666666666668,494.0
78,8.947046990215313e-05,0.9509,491,0,0.16403333333333334,491.0
79,9.387987984155188e-05,0.9509,491,0,0.16436666666666666,491.0
80,9.96329963527387e-05,0.9512,487,0,0.16473333333333331,487.0
81,7.873155618653982e-05,0.9515,484,0,0.16443333333333332,484.0
