,LogPF,LogRmu,LogZmu,LogPF_BNN
0,-104.38066101074219,-15.80274486541748,-44.39102554321289,69918.6953125
1,-116.49366760253906,-1416.4583740234375,-44.39102554321289,69918.6953125
2,-111.86259460449219,-0.6064721941947937,-44.39102554321289,69918.6953125
3,-117.0132827758789,-0.003457063576206565,-44.39102554321289,69918.6953125
4,-110.14472961425781,-0.0005960462731309235,-44.39102554321289,69918.6953125
5,-105.00869750976562,-0.007629365660250187,-44.39102554321289,69918.6953125
6,-107.64590454101562,-1554.611572265625,-44.39102554321289,69918.6953125
7,-113.89579010009766,-99.88170623779297,-44.39102554321289,69918.6953125
8,-120.53923034667969,-429.81689453125,-44.39102554321289,69918.6953125
9,-108.09785461425781,-286.4247741699219,-44.39102554321289,69918.6953125
10,-123.09907531738281,-823.5419311523438,-44.39102554321289,69918.6953125
11,-115.96554565429688,-224.8951416015625,-44.39102554321289,69918.6953125
12,-118.35114288330078,-1.1023166179656982,-44.39102554321289,69918.6953125
13,-103.94021606445312,-142.2306365966797,-44.39102554321289,69918.6953125
14,-108.72286987304688,-0.00023841856454964727,-44.39102554321289,69918.6953125
15,-133.66253662109375,-30.11751365661621,-44.39102554321289,69918.6953125
16,-110.2529525756836,-48.081539154052734,-44.39102554321289,69918.6953125
17,-113.78463745117188,-35.770042419433594,-44.39102554321289,69918.6953125
18,-117.08721923828125,-277.4529724121094,-44.39102554321289,69918.6953125
19,-116.16368103027344,-68.31146240234375,-44.39102554321289,69918.6953125
20,-100.05323791503906,-1.6074367761611938,-44.39102554321289,69918.6953125
21,-104.99313354492188,0.0,-44.39102554321289,69918.6953125
22,-106.93660736083984,-3.2014806270599365,-44.39102554321289,69918.6953125
23,-115.60008239746094,-1.2034087181091309,-44.39102554321289,69918.6953125
24,-112.649169921875,-2881.208251953125,-44.39102554321289,69918.6953125
25,-111.25367736816406,-1.2667497396469116,-44.39102554321289,69918.6953125
26,-102.77204895019531,-996.9633178710938,-44.39102554321289,69918.6953125
27,-114.46720886230469,-0.2569822072982788,-44.39102554321289,69918.6953125
28,-109.21112823486328,-0.21991696953773499,-44.39102554321289,69918.6953125
29,-109.00239562988281,-0.00858303252607584,-44.39102554321289,69918.6953125
30,-106.00779724121094,-61.0160026550293,-44.39102554321289,69918.6953125
31,-111.67367553710938,-809.3185424804688,-44.39102554321289,69918.6953125
32,-120.44284057617188,-2867.979248046875,-44.39102554321289,69918.6953125
33,-112.06880187988281,-129.47921752929688,-44.39102554321289,69918.6953125
34,-99.27947998046875,-0.0030994366388767958,-44.39102554321289,69918.6953125
35,-104.83248901367188,-388.9080505371094,-44.39102554321289,69918.6953125
36,-115.7057876586914,-1.6011288166046143,-44.39102554321289,69918.6953125
37,-99.29005432128906,-0.08213182538747787,-44.39102554321289,69918.6953125
38,-109.02781677246094,-0.960841953754425,-44.39102554321289,69918.6953125
39,-120.28567504882812,-231.60574340820312,-44.39102554321289,69918.6953125
40,-109.87857055664062,-0.5550036430358887,-44.39102554321289,69918.6953125
41,-117.19573974609375,-301.8518371582031,-44.39102554321289,69918.6953125
42,-111.99868774414062,-485.43896484375,-44.39102554321289,69918.6953125
43,-113.25209045410156,-0.0011920923134312034,-44.39102554321289,69918.6953125
44,-125.51499938964844,-0.009655906818807125,-44.39102554321289,69918.6953125
45,-92.73634338378906,0.0,-44.39102554321289,69918.6953125
46,-109.28846740722656,-0.051735490560531616,-44.39102554321289,69918.6953125
47,-116.55638122558594,0.0,-44.39102554321289,69918.6953125
48,-109.22613525390625,-0.0027418097015470266,-44.39102554321289,69918.6953125
49,-114.07525634765625,-57.461727142333984,-44.39102554321289,69918.6953125
50,-107.5377197265625,-0.019669340923428535,-44.39102554321289,69918.6953125
51,-122.42867279052734,-661.4364013671875,-44.39102554321289,69918.6953125
52,-117.58451843261719,-0.012874520383775234,-44.39102554321289,69918.6953125
53,-116.92684173583984,-0.012636104598641396,-44.39102554321289,69918.6953125
54,-119.30825805664062,-2.971759080886841,-44.39102554321289,69918.6953125
55,-101.85009765625,-582.0597534179688,-44.39102554321289,69918.6953125
56,-127.73776245117188,-7.022580146789551,-44.39102554321289,69918.6953125
57,-115.17716217041016,-44.2829475402832,-44.39102554321289,69918.6953125
58,-112.81114959716797,-0.0014305104268714786,-44.39102554321289,69918.6953125
59,-123.75022888183594,0.0,-44.39102554321289,69918.6953125
60,-111.51033020019531,-117.658203125,-44.39102554321289,69918.6953125
61,-108.66177368164062,0.0,-44.39102554321289,69918.6953125
62,-98.45606994628906,-112.23455810546875,-44.39102554321289,69918.6953125
63,-113.67160034179688,-82.66769409179688,-44.39102554321289,69918.6953125
64,-116.0251235961914,-54.27130126953125,-44.39102554321289,69918.6953125
65,-112.33325958251953,-0.8494821786880493,-44.39102554321289,69918.6953125
66,-114.29395294189453,-0.00023841856454964727,-44.39102554321289,69918.6953125
67,-131.51181030273438,-0.08141662925481796,-44.39102554321289,69918.6953125
68,-102.21018981933594,-356.79815673828125,-44.39102554321289,69918.6953125
69,-117.77536010742188,-0.15507927536964417,-44.39102554321289,69918.6953125
70,-100.8661117553711,-0.00011920928227482364,-44.39102554321289,69918.6953125
71,-104.629150390625,0.0,-44.39102554321289,69918.6953125
72,-113.56031799316406,-1953.947509765625,-44.39102554321289,69918.6953125
73,-114.18273162841797,-48.1061897277832,-44.39102554321289,69918.6953125
74,-126.91609191894531,0.0,-44.39102554321289,69918.6953125
75,-123.17816925048828,-33.13017272949219,-44.39102554321289,69918.6953125
76,-100.595703125,-0.008344615809619427,-44.39102554321289,69918.6953125
