,LogPF,LogRmu,LogZmu,LogPF_BNN
0,-169.00851440429688,-20.829618453979492,0.0,111212.703125
1,-158.51791381835938,-0.711426317691803,0.0,111212.703125
2,-167.30039978027344,-0.26067671179771423,0.0,111212.703125
3,-160.38229370117188,0.0,0.0,111212.703125
4,-167.79058837890625,-7983.13232421875,0.0,111212.703125
5,-169.50607299804688,-0.0070333234034478664,0.0,111212.703125
6,-170.79226684570312,-0.3237200379371643,0.0,111212.703125
7,-172.69093322753906,-1353.88671875,0.0,111212.703125
8,-166.40518188476562,-94.97528076171875,0.0,111212.703125
9,-164.87962341308594,-421.7167053222656,0.0,111212.703125
10,-162.59915161132812,-19.827268600463867,0.0,111212.703125
11,-166.6927032470703,0.0,0.0,111212.703125
12,-160.68069458007812,-0.6075443625450134,0.0,111212.703125
13,-174.91232299804688,0.0,0.0,111212.703125
14,-166.81361389160156,-1241.7698974609375,0.0,111212.703125
15,-158.59976196289062,0.0,0.0,111212.703125
16,-165.99468994140625,-0.641616940498352,0.0,111212.703125
17,-162.99267578125,0.0,0.0,111212.703125
18,-172.54177856445312,-0.00047683707089163363,0.0,111212.703125
19,-177.7665557861328,-117.31096649169922,0.0,111212.703125
20,-159.5595703125,0.0,0.0,111212.703125
21,-168.85977172851562,-0.018954096361994743,0.0,111212.703125
22,-165.83700561523438,-1427.8526611328125,0.0,111212.703125
23,-159.90634155273438,-0.01132481824606657,0.0,111212.703125
24,-167.55484008789062,-1.2169820070266724,0.0,111212.703125
25,-168.23541259765625,-0.00011920928227482364,0.0,111212.703125
26,-161.435546875,-78.38341522216797,0.0,111212.703125
27,-175.7496337890625,-2369.84716796875,0.0,111212.703125
28,-167.6253662109375,-1557.55712890625,0.0,111212.703125
29,-166.00946044921875,-5426.61669921875,0.0,111212.703125
30,-164.22720336914062,-314.10040283203125,0.0,111212.703125
31,-163.0279541015625,-1.0202685594558716,0.0,111212.703125
32,-165.6622314453125,-43.65652847290039,0.0,111212.703125
33,-164.32675170898438,-0.06127169728279114,0.0,111212.703125
34,-170.80062866210938,-0.0016689287731423974,0.0,111212.703125
35,-170.2617645263672,-0.5734707117080688,0.0,111212.703125
36,-162.3909454345703,0.0,0.0,111212.703125
37,-174.49160766601562,-6239.4111328125,0.0,111212.703125
38,-158.71112060546875,-4898.111328125,0.0,111212.703125
39,-170.2763671875,-21.634532928466797,0.0,111212.703125
40,-166.54344177246094,0.0,0.0,111212.703125
41,-173.57949829101562,-5899.33740234375,0.0,111212.703125
42,-159.96449279785156,-2598.65673828125,0.0,111212.703125
43,-168.38941955566406,-9.082195281982422,0.0,111212.703125
44,-163.6118927001953,0.0,0.0,111212.703125
45,-158.83987426757812,-3847.711669921875,0.0,111212.703125
46,-169.08151245117188,-0.27271366119384766,0.0,111212.703125
47,-167.00128173828125,-553.7295532226562,0.0,111212.703125
48,-169.2793731689453,-0.007271740585565567,0.0,111212.703125
49,-164.89627075195312,-2588.31298828125,0.0,111212.703125
50,-175.67776489257812,-1.0914803743362427,0.0,111212.703125
51,-176.03060913085938,-0.015258672647178173,0.0,111212.703125
52,-173.11663818359375,-6367.453125,0.0,111212.703125
53,-173.74615478515625,-2297.7578125,0.0,111212.703125
54,-165.89883422851562,-0.00047683707089163363,0.0,111212.703125
55,-180.67288208007812,-9068.2216796875,0.0,111212.703125
56,-168.13229370117188,-0.00023841856454964727,0.0,111212.703125
57,-160.21713256835938,-22209.96875,0.0,111212.703125
58,-168.9385528564453,-0.0013113012537360191,0.0,111212.703125
59,-172.40798950195312,-9.125548362731934,0.0,111212.703125
60,-160.86325073242188,-13.473411560058594,0.0,111212.703125
61,-168.58587646484375,-8028.05712890625,0.0,111212.703125
62,-167.99163818359375,-7.210541725158691,0.0,111212.703125
63,-160.57431030273438,-0.37829872965812683,0.0,111212.703125
64,-174.20602416992188,0.0,0.0,111212.703125
65,-164.06686401367188,-0.024676019325852394,0.0,111212.703125
66,-165.51242065429688,-0.14685505628585815,0.0,111212.703125
67,-169.7763671875,-2000.5048828125,0.0,111212.703125
68,-161.5376434326172,0.0,0.0,111212.703125
69,-164.223876953125,0.0,0.0,111212.703125
70,-163.87059020996094,-218.3917694091797,0.0,111212.703125
71,-168.735595703125,-35.311580657958984,0.0,111212.703125
72,-157.87147521972656,0.0,0.0,111212.703125
73,-165.6981201171875,-73.67865753173828,0.0,111212.703125
74,-165.3169403076172,-507.6260681152344,0.0,111212.703125
75,-167.70785522460938,-7420.2705078125,0.0,111212.703125
76,-163.23162841796875,-0.0005960462731309235,0.0,111212.703125
77,-157.9637451171875,-624.9506225585938,0.0,111212.703125
78,-167.92068481445312,-453.8251647949219,0.0,111212.703125
79,-169.65057373046875,-3022.107666015625,0.0,111212.703125
80,-166.71646118164062,-0.0007152555044740438,0.0,111212.703125
81,-171.73806762695312,0.0,0.0,111212.703125
82,-167.743896484375,-14.763038635253906,0.0,111212.703125
83,-174.9150848388672,0.0,0.0,111212.703125
84,-160.60897827148438,0.0,0.0,111212.703125
85,-169.2010955810547,0.0,0.0,111212.703125
86,-174.3596649169922,-5578.13134765625,0.0,111212.703125
87,-174.87869262695312,0.0,0.0,111212.703125
88,-166.6468048095703,-0.26627811789512634,0.0,111212.703125
89,-168.59141540527344,-0.008463824167847633,0.0,111212.703125
90,-171.28797912597656,0.0,0.0,111212.703125
91,-164.33639526367188,-462.4778747558594,0.0,111212.703125
92,-163.61448669433594,-0.9097489714622498,0.0,111212.703125
93,-166.84445190429688,-4888.896484375,0.0,111212.703125
94,-170.16488647460938,-4634.42333984375,0.0,111212.703125
95,-166.16189575195312,-2998.3173828125,0.0,111212.703125
96,-171.5013885498047,-6.101789474487305,0.0,111212.703125
97,-174.45126342773438,-0.2810560166835785,0.0,111212.703125
98,-163.09091186523438,-41.273780822753906,0.0,111212.703125
