,train_loss,test_acc,test_error,GFN_losses,test_acc_OOD,test_error_OOD,CIFAR_10C_acc
0,1.8977969201811908,0.34236550632911394,83.29113924050633,0,0.22850738396624476,97.62869198312238,0.32957175925925924
1,1.5578479679831623,0.44264240506329117,70.72151898734177,0,0.28609572784810133,90.28691983122363,0.4172278338945006
2,1.3381565291516102,0.5294699367088608,59.78481012658228,0,0.29183148734177217,89.64135021097046,0.5099046015712683
3,1.1465236253111901,0.6119462025316456,49.050632911392405,0,0.3326081223628692,84.51054852320674,0.5718662317620651
4,0.9792633298104697,0.6307357594936709,46.734177215189874,0,0.350540611814346,82.27426160337554,0.58556572671156
5,0.8446497856265437,0.6116495253164557,49.08860759493671,0,0.34454113924050633,82.92405063291139,0.587877034231201
6,0.7446311105341807,0.7072784810126582,37.20253164556962,0,0.3551226265822785,81.45147679324894,0.6493897306397306
7,0.6525010656918923,0.7420886075949367,32.74683544303797,0,0.38162579113924056,78.38396624472576,0.67444234006734
8,0.5681108901970577,0.767998417721519,29.518987341772153,0,0.3714398734177215,79.56962025316456,0.7138345258136924
9,0.49847010267476966,0.7510878164556962,31.50632911392405,0,0.39411919831223624,76.72573839662445,0.710290404040404
10,0.4352479956663438,0.7924248417721519,26.126582278481013,0,0.40367879746835444,75.53164556962025,0.7297050364758698
11,0.38052061705911244,0.7848101265822784,27.27848101265823,0,0.3704509493670886,79.45991561181435,0.7180099607182941
12,0.32634736825949956,0.7845134493670886,27.40506329113924,0,0.4084256329113924,74.8649789029536,0.7165965207631874
13,0.2826319415203846,0.7882713607594937,26.835443037974684,0,0.39797600210970463,76.17299578059071,0.7356130751964086
14,0.23277951091745475,0.7963805379746836,25.79746835443038,0,0.4056236814345992,75.25316455696202,0.7391764870931538
15,0.20890222788944732,0.7927215189873418,26.354430379746834,0,0.38910864978902954,77.45569620253164,0.7260311447811448
16,0.17307999562879983,0.7964794303797469,25.873417721518987,0,0.40453586497890287,75.36286919831223,0.7252121913580247
17,0.1509753331868318,0.7678006329113924,29.27848101265823,0,0.37443960970464135,79.24472573839662,0.6951564253647587
18,0.1438328643145896,0.78125,27.734177215189874,0,0.39322916666666674,76.75105485232068,0.7132154882154882
19,0.11348649227216731,0.7860957278481012,27.11392405063291,0,0.41455696202531644,73.9324894514768,0.7177188552188553
20,0.10499557540038207,0.7912381329113924,26.367088607594937,0,0.3873945147679325,77.40928270042194,0.718653549382716
21,0.09183333203006182,0.7881724683544303,26.759493670886076,0,0.3740770042194092,79.35021097046413,0.7152795314253648
22,0.08573335783053053,0.8003362341772152,25.379746835443036,0,0.4008768459915612,75.59493670886076,0.7384013748597082
