,train_loss,test_acc,test_error,GFN_losses,test_acc_OOD,test_error_OOD,CIFAR_10C_acc
0,1.9175093304501833,0.371934335443038,79.50632911392405,0,0.24660469409282695,95.40084388185652,0.3636188271604939
1,1.547903203616177,0.39022943037974683,77.16455696202532,0,0.25975738396624476,93.68776371308016,0.3618914842873176
2,1.2669047739383947,0.532931170886076,59.164556962025316,0,0.28879878691983124,90.20675105485232,0.4907512626262626
3,1.087026940210022,0.5613132911392406,55.53164556962025,0,0.3043248945147679,88.18987341772151,0.5083526234567901
4,0.9616155387276281,0.6549643987341772,43.89873417721519,0,0.3412117616033755,83.37974683544304,0.5927591891133557
5,0.8564389256665307,0.6374604430379747,45.962025316455694,0,0.33079509493670883,84.65400843881855,0.5685588524130191
6,0.7530108052883705,0.650118670886076,44.34177215189873,0,0.33076213080168776,84.65822784810125,0.5752227132435467
7,0.6734462694747605,0.7099485759493671,36.77215189873418,0,0.3534084915611814,81.9957805907173,0.625184132996633
8,0.5899628161513892,0.7647349683544303,29.759493670886076,0,0.36230880801687765,80.67932489451478,0.6988513608305275
9,0.5239022542742917,0.7205300632911392,35.41772151898734,0,0.3299050632911392,84.82700421940928,0.6528619528619528
10,0.47446314174763476,0.7697784810126582,29.11392405063291,0,0.38047204641350213,78.62025316455697,0.6968451879910214
11,0.408293227209662,0.7562302215189873,30.848101265822784,0,0.3841969936708861,78.084388185654,0.7027900533108867
12,0.3557789439376253,0.7846123417721519,27.303797468354432,0,0.36201213080168776,80.83544303797467,0.7145342312008978
13,0.3046654629772597,0.7875791139240507,26.924050632911392,0,0.36069356540084385,80.85654008438819,0.7011135662177328
14,0.26717015937732086,0.7263647151898734,34.40506329113924,0,0.35541930379746833,81.47257383966245,0.6794560185185186
15,0.2316349576750811,0.7837223101265823,27.151898734177216,0,0.3888119725738396,77.43459915611813,0.699898288439955
16,0.1886110241613249,0.783623417721519,27.341772151898734,0,0.4077663502109704,75.126582278481,0.7180748456790123
17,0.1685808070656592,0.7640427215189873,29.759493670886076,0,0.4027228375527426,75.56540084388185,0.6956211419753086
18,0.1373549033173897,0.7764042721518988,28.265822784810126,0,0.37786787974683544,78.92405063291139,0.6984866021324355
19,0.12380849652971229,0.7752175632911392,28.50632911392405,0,0.37292325949367083,79.23206751054853,0.6825792648709315
20,0.10126698054509224,0.7742286392405063,28.455696202531644,0,0.41201872362869196,74.52320675105484,0.6938955527497194
21,0.09862456392891107,0.7818433544303798,27.569620253164558,0,0.3857133438818566,77.83122362869199,0.696140221661055
22,0.09190986509414485,0.7688884493670886,29.227848101265824,0,0.3883175105485232,77.58649789029535,0.698718083613917
23,0.08585708697469238,0.7811511075949367,27.658227848101266,0,0.37473628691983124,78.9704641350211,0.7029531425364759
24,0.07634474517587218,0.7666139240506329,29.430379746835442,0,0.37071466244725737,79.8691983122363,0.6741038860830527
25,0.07504924140992934,0.7760087025316456,28.49367088607595,0,0.38070279535864976,78.44303797468353,0.6865284792368126
26,0.058534082349892845,0.7904469936708861,26.379746835443036,0,0.3849551687763713,77.957805907173,0.7177925084175084
27,0.06574427303314263,0.7827333860759493,27.455696202531644,0,0.3833399261603375,78.16455696202532,0.7012328142536476
28,0.060529734660619804,0.7915348101265823,26.329113924050635,0,0.382120253164557,78.23206751054855,0.7227202581369248
29,0.051315358073457426,0.7931170886075949,26.126582278481013,0,0.40034941983122363,75.72151898734178,0.7262784090909091
30,0.049082475172247,0.7917325949367089,26.303797468354432,0,0.38399920886075944,77.99156118143459,0.7160248316498317
31,0.055234372676995984,0.7864912974683544,26.974683544303797,0,0.3924709915611814,76.96624472573839,0.7144938973063973
32,0.05308046886173967,0.783623417721519,27.430379746835442,0,0.3682423523206751,80.09704641350211,0.7145780723905724
33,0.04173420576113582,0.7926226265822784,26.189873417721518,0,0.40054720464135013,75.60759493670885,0.7073758417508418
34,0.04278596016972659,0.7802610759493671,27.860759493670887,0,0.4206223628691983,73.27426160337552,0.7048049943883278
35,0.049719318693986395,0.7833267405063291,27.379746835443036,0,0.4017009493670886,75.72573839662448,0.7063850308641975
36,0.04987894728215561,0.7860957278481012,27.20253164556962,0,0.3775052742616034,78.52742616033755,0.7252823372615039
37,0.032106924960967564,0.797567246835443,25.556962025316455,0,0.40298655063291144,75.53164556962025,0.7228938692480359
38,0.03908932796954755,0.7855023734177216,27.10126582278481,0,0.3932291666666667,76.86919831223628,0.7131506032547699
39,0.042898296419340766,0.8037974683544303,25.025316455696203,0,0.40730485232067515,75.15611814345992,0.7317480359147025
40,0.036231614942033606,0.7682950949367089,29.21518987341772,0,0.3818565400843882,78.41350210970465,0.68850484006734
41,0.0478129859981433,0.7868868670886076,27.0126582278481,0,0.3896360759493671,77.15189873417721,0.7230604657687991
42,0.02873829916484117,0.7849090189873418,27.265822784810126,0,0.4040414029535864,75.57383966244724,0.7133014169472504
43,0.036660658804883325,0.7932159810126582,26.11392405063291,0,0.38505406118143465,77.53164556962025,0.7258066778900113
44,0.030519578257918928,0.7971716772151899,25.78481012658228,0,0.39049314345991554,77.1898734177215,0.7268974466891133
45,0.03649995695284643,0.7990506329113924,25.544303797468356,0,0.39207542194092826,77.13502109704642,0.7228465207631873
46,0.030943204028052652,0.780557753164557,27.82278481012658,0,0.385185917721519,77.72151898734177,0.7160967312008978
47,0.03149621570686789,0.7893591772151899,26.696202531645568,0,0.38749340717299585,77.54430379746837,0.7074898288439955
48,0.03596091217507547,0.7910403481012658,26.303797468354432,0,0.398470464135021,75.87341772151898,0.7240162037037037
49,0.022634881291003987,0.7858979430379747,27.050632911392405,0,0.3847903481012658,77.91983122362868,0.7193813131313131
