,train_loss,GFN_losses
0,1.3882490267007115,0
1,0.9121041337902934,0
2,0.6926618590712929,0
3,0.5373554017406683,0
4,0.4262927436885742,0
5,0.33041605953210457,0
6,0.24861527503298494,0
7,0.188443569639049,0
8,0.14532516150476452,0
9,0.10834960308009253,0
10,0.08872179381144694,0
11,0.07843205850785628,0
12,0.059187789075671675,0
13,0.06292549849074251,0
14,0.05712888936568706,0
15,0.04554326869785405,0
16,0.046961673815100906,0
17,0.04220079273110428,0
18,0.04293144289582682,0
19,0.04449435728661621,0
20,0.03166389063531801,0
21,0.03380233128354275,0
22,0.03573149012791487,0
23,0.02926763936266535,0
24,0.037315338752202734,0
25,0.022628103427145593,0
26,0.03181730469870277,0
27,0.025043609162484604,0
28,0.031194243053816403,0
29,0.018142412103003654,0
30,0.0280439757081619,0
