,test_acc,test_error,test_acc_OOD,test_error_OOD
0,0.7620289522058823,119.1,0.3591835171568627,959.95
1,0.9787166819852942,10.45,0.40170419730392154,897.75
2,0.9890739889705882,5.5,0.46276807598039216,808.35
3,0.9917107077205882,4.15,0.5314778645833333,705.85
4,0.99521484375,2.45,0.4976026348039214,757.1
5,0.9950310202205882,2.45,0.4988472732843138,753.7
6,0.9889993106617647,5.45,0.543390012254902,687.25
7,0.9948471966911765,2.5,0.5469132965686275,681.8
8,0.9953354779411765,2.25,0.5555013020833333,670.65
9,0.9933823529411765,3.25,0.5536228553921568,672.95
10,0.9953239889705883,2.3,0.5464001225490196,683.3
11,0.9940659466911764,2.9,0.5784294577205882,635.2
12,0.993359375,3.4,0.5729358149509804,643.55
13,0.99453125,2.8,0.5768248314950981,637.2
14,0.9950425091911764,2.4,0.5757927389705881,639.3
15,0.9947380514705882,2.6,0.5765567555147058,637.8
16,0.9945542279411764,2.65,0.5649184283088233,654.05
17,0.9942612591911765,2.8,0.5975662530637255,605.85
18,0.9953354779411765,2.25,0.5875746783088236,620.75
19,0.9957146139705882,2.1,0.5925800398284314,613.2
20,0.9960075827205882,1.95,0.5795840992647058,632.65
21,0.9948586856617647,2.45,0.5887752757352941,619.65
22,0.9943589154411765,2.75,0.5306851256127452,708.1
23,0.9958122702205883,2.05,0.5704886642156862,648.5
24,0.9953239889705883,2.3,0.5632601868872549,659.35
25,0.9949448529411764,2.45,0.5796032475490196,633.05
26,0.9946518841911764,2.6,0.584426700367647,626.7
27,0.9952263327205882,2.35,0.5941597732843137,611.75
28,0.9943704044117647,2.7,0.5926776960784313,613.2
29,0.9947495404411765,2.55,0.5940046721813724,611.05
30,0.9953354779411765,2.25,0.5853362438725491,624.15
31,0.9956284466911764,2.1,0.592059206495098,614.0
32,0.9953354779411765,2.25,0.5952780330882353,609.1
33,0.9954216452205882,2.25,0.5599073223039215,664.4
34,0.9951286764705882,2.4,0.5482709099264705,682.55
35,0.9947380514705882,2.6,0.5637312346813725,658.3
36,0.9942497702205882,2.85,0.5532303155637256,673.2
37,0.9952263327205882,2.35,0.5773246017156863,637.1
38,0.9934914981617646,3.15,0.5677619485294118,652.6
39,0.994921875,2.6,0.57568359375,638.7
40,0.994921875,2.6,0.5765242034313726,638.0
41,0.9949448529411764,2.45,0.5939491421568627,612.1
42,0.9948471966911765,2.5,0.5963790594362746,607.85
43,0.9950310202205882,2.45,0.6008080575980392,601.3
44,0.9944565716911764,2.7,0.6030713848039214,598.25
45,0.9948586856617647,2.45,0.5836971507352942,626.8
46,0.9951516544117647,2.3,0.5858628216911765,623.7
47,0.9954446231617646,2.15,0.5851141237745098,624.15
48,0.9946748621323529,2.5,0.5839786305147059,627.3
49,0.9945772058823529,2.55,0.5797334558823529,634.25
50,0.9949563419117646,2.4,0.5937174479166667,611.75
51,0.9950539981617647,2.35,0.5924249387254901,614.15
52,0.9943589154411765,2.75,0.5885052849264707,619.9
53,0.9929285386029412,3.4,0.5527477787990196,673.4
54,0.9938936121323529,2.9,0.562438725490196,659.1
55,0.9938821231617647,2.95,0.5648054534313727,655.2
56,0.9935029871323529,3.1,0.5677313112745099,650.7
57,0.9940774356617647,2.85,0.582580805759804,628.4
58,0.9945542279411764,2.65,0.575760186887255,638.45
59,0.9944680606617646,2.65,0.5726390165441178,644.15
