,test_acc,test_error,test_acc_OOD,test_error_OOD
0,0.9689797794117647,15.7,0.533532475490196,703.55
1,0.9939797794117646,2.9,0.4306123621323529,857.3
2,0.9913200827205882,4.35,0.396484375,908.85
3,0.9926125919117647,3.6,0.37744140624999994,938.85
4,0.9936753216911764,3.1,0.41012561274509807,889.1
5,0.9926011029411764,3.65,0.43948950674019616,844.4
6,0.9916245404411764,4.15,0.4093252144607843,890.45
7,0.9963982077205882,1.75,0.44232153799019597,840.75
8,0.9934685202205882,3.25,0.4642827052696078,808.6
9,0.9942612591911765,2.8,0.42942325367647055,859.85
10,0.9926987591911764,3.6,0.4280598958333333,860.45
11,0.9940774356617647,2.85,0.4265873927696079,864.25
12,0.9939797794117646,2.9,0.412417662377451,885.6
13,0.9922104779411764,3.85,0.44624502144607847,833.3
14,0.9942497702205882,2.85,0.4716547947303922,795.65
15,0.9942842371323529,2.7,0.46294615502450986,808.05
16,0.9960075827205882,1.95,0.5203699448529413,721.8
17,0.9961052389705882,1.9,0.5242015165441176,715.55
18,0.9935661764705882,3.2,0.4913373161764706,766.95
19,0.9958122702205883,2.05,0.46102558210784317,811.0
20,0.9960075827205882,1.95,0.4481770833333334,830.15
21,0.9953354779411765,2.25,0.4852711397058824,774.95
22,0.9940774356617647,2.85,0.5081073835784313,739.25
23,0.9950539981617647,2.35,0.5064759497549021,741.8
24,0.99501953125,2.55,0.5401022518382353,691.7
25,0.9940659466911764,2.9,0.55380859375,672.4
26,0.9955193014705882,2.2,0.5461301317401961,684.25
27,0.9954216452205882,2.25,0.4472005208333334,832.5
28,0.9952378216911765,2.3,0.48878484987745097,769.25
29,0.9957261029411765,2.05,0.460885799632353,810.85
30,0.9952378216911765,2.3,0.4617053462009804,810.0
31,0.9937844669117647,3.0,0.5663373161764707,652.4
32,0.9951401654411764,2.35,0.5522805606617648,672.8
33,0.9945427389705882,2.7,0.5605449601715685,660.25
34,0.9953239889705883,2.3,0.5533528645833333,670.85
35,0.9925494025735293,3.55,0.5577990962009804,666.15
36,0.9936982996323529,3.0,0.5224934895833334,719.05
37,0.9941750919117647,2.8,0.556747855392157,667.4
38,0.9947380514705882,2.6,0.5657762714460784,654.25
39,0.9958122702205883,2.05,0.47978898590686275,783.75
40,0.9956169577205882,2.15,0.4843156403186274,775.75
41,0.9937729779411765,3.05,0.5800991881127452,634.2
42,0.9943589154411765,2.75,0.5743719362745099,642.8
43,0.9949448529411764,2.45,0.5793945312500001,635.15
44,0.9936868106617647,3.05,0.5794634650735293,634.3
45,0.9935891544117647,3.1,0.5795323988970588,634.15
46,0.9941636029411764,2.85,0.5726256127450979,644.45
47,0.9938706341911765,3.0,0.574532781862745,641.35
48,0.9939568014705882,3.0,0.5976485906862746,608.05
49,0.9941521139705882,2.9,0.5773380055147059,638.25
50,0.9944565716911764,2.7,0.5549402573529412,670.9
51,0.9949448529411764,2.45,0.5652669270833333,655.55
52,0.9945427389705882,2.7,0.5749482996323529,641.0
53,0.9942497702205882,2.85,0.5790843290441178,634.9
54,0.9946403952205882,2.65,0.580679381127451,632.35
55,0.99541015625,2.35,0.5854434742647058,625.75
56,0.99443359375,2.85,0.5584539675245097,665.7
57,0.9951286764705882,2.4,0.5654852175245099,654.9
58,0.9945427389705882,2.7,0.5651309742647059,655.45
59,0.9940544577205882,2.95,0.5607172947303921,661.6
