,test_acc,test_error,test_acc_OOD,test_error_OOD,CIFAR_10C_acc
0,0.35710018382352937,321.35,0.2364698223039216,1146.4,0.29998090930451127
1,0.7617704503676471,119.15,0.38299249387254897,928.25,0.6034715695488722
2,0.7988223805147059,100.4,0.4266027113970588,864.1,0.6374603500939849
3,0.7660558363970588,116.95,0.38231081495098035,929.75,0.6406690554511278
4,0.8291417738970589,85.4,0.437252987132353,846.5,0.6909803806390977
5,0.8131318933823529,93.2,0.42092907475490193,870.9,0.6753260103383458
6,0.8006318933823529,99.6,0.42575061274509796,863.4,0.6605968045112782
7,0.8208122702205882,89.45,0.43267271752450986,853.7,0.6500455239661654
8,0.8176872702205882,91.05,0.4291934742647058,858.95,0.6552367246240601
9,0.8451229319852942,77.4,0.44534122242647056,835.3,0.6982201597744361
10,0.8485523897058824,75.55,0.4491383272058823,829.6,0.7005771264097744
11,0.8485179227941175,75.75,0.4491670496323529,829.55,0.6961936090225563
12,0.8493853400735294,75.35,0.450863587622549,827.0,0.690187382518797
13,0.8501551011029411,75.0,0.4499406403186274,828.4,0.6969792645676691
14,0.8499827665441175,75.0,0.4492915134803922,829.1,0.6962009515977443
15,0.8496266084558824,75.0,0.45015893075980395,827.85,0.6970894031954887
16,0.7909352022058823,104.3,0.3877431832107843,921.4,0.6316009750939849
17,0.8401137408088235,79.7,0.4403894761029412,842.25,0.6866776315789473
18,0.8340360753676471,82.9,0.45561044730392153,819.35,0.6867437147556391
19,0.8177332261029411,90.85,0.4121878829656862,884.85,0.6512717340225563
20,0.8437729779411764,77.6,0.451284849877451,825.95,0.6976400963345865
21,0.8447265625,77.25,0.4512159160539214,826.05,0.6983082706766917
22,0.8450080422794117,77.15,0.45300628063725484,823.2,0.6983523261278195
23,0.8458754595588236,76.75,0.4518095128676471,825.1,0.6968617833646616
24,0.8469611672794117,76.15,0.45185929840686273,825.3,0.6966047932330827
25,0.8467543658088236,76.3,0.4523877910539215,824.25,0.6963478031015038
26,0.8480353860294118,75.6,0.4521350337009803,824.65,0.6988663063909775
27,0.8466681985294118,76.3,0.4529775582107843,823.45,0.6985579182330827
28,0.8477424172794118,75.75,0.45283586090686273,823.85,0.6990718984962406
29,0.8486328125,75.25,0.45397901348039216,821.9,0.7005624412593985
30,0.8486213235294118,75.3,0.45398284313725484,821.95,0.7003054511278195
31,0.8482306985294118,75.5,0.45427964154411765,821.3,0.6998942669172932
32,0.8478285845588236,75.75,0.4564453125,818.2,0.7010837640977443
33,0.8485236672794118,75.35,0.45383731617647066,822.25,0.69871211231203
34,0.8488166360294118,75.2,0.45530598958333324,819.95,0.6997400728383458
35,0.8484375,75.35,0.45516046262254906,820.4,0.7002540531015038
36,0.8488166360294118,75.2,0.4535807291666666,822.65,0.6994316846804511
37,0.8469611672794117,76.15,0.4549115349264706,820.6,0.6991232965225563
38,0.84375,77.75,0.44562653186274515,834.2,0.7044466635338346
39,0.8441291360294118,77.6,0.4462028952205883,832.9,0.703110314849624
40,0.8464613970588235,76.45,0.4476160386029412,831.25,0.6976400963345865
41,0.8467543658088236,76.3,0.4471852022058823,831.8,0.6993435737781954
42,0.8459846047794117,76.65,0.4453852634803922,834.3,0.695797109962406
43,0.84609375,76.55,0.44657820159313727,832.7,0.6979044290413533
44,0.8446403952205882,77.25,0.44832452512254906,830.25,0.6981614191729323
45,0.845703125,76.75,0.44658203125,832.55,0.7020750117481204
46,0.8462775735294118,76.5,0.44767731311274517,831.05,0.6988809915413533
47,0.8377585018382353,80.95,0.44285577512254903,837.8,0.6791661771616542
48,0.8490004595588235,75.15,0.4522154564950981,824.2,0.6915457589285715
49,0.8492704503676471,75.1,0.4535060508578431,822.5,0.6898569666353384
50,0.8476447610294118,75.8,0.45131165747549007,825.45,0.6839755639097744
51,0.8466452205882353,76.4,0.45326095281862744,822.7,0.6872797227443609
52,0.8469381893382353,76.25,0.4491383272058823,828.85,0.6867583999060151
53,0.8476217830882353,75.9,0.4521695006127452,824.2,0.6857818374060151
54,0.8453986672794118,76.95,0.45322840073529413,822.7,0.6885132753759399
55,0.8454848345588235,76.95,0.45319584865196083,822.75,0.6893943843984962
56,0.8448874080882354,77.3,0.45156441482843135,825.45,0.6881975446428572
57,0.8455939797794118,76.85,0.4522077971813725,824.45,0.6893356437969925
58,0.8462545955882353,76.6,0.45219822303921564,824.2,0.6906279370300752
59,0.8459616268382353,76.75,0.4526252297794118,823.5,0.6925370065789473
