,test_acc,test_error,test_acc_OOD,test_error_OOD
0,0.9690142463235294,15.6,0.46836320465686276,802.0
1,0.9833582261029411,8.3,0.43030024509803927,863.25
2,0.9927964154411765,3.55,0.540954350490196,695.15
3,0.9909639246323529,4.4,0.5017903645833333,755.45
4,0.9941750919117647,2.8,0.5139188878676471,735.85
5,0.9947380514705882,2.6,0.5025428921568627,752.7
6,0.9951286764705882,2.4,0.5398284313725491,696.85
7,0.9901596966911764,4.9,0.5120998008578431,738.55
8,0.9943704044117647,2.7,0.5444450827205882,689.8
9,0.9925034466911764,3.7,0.541848575367647,693.45
10,0.9947495404411765,2.55,0.5711014093137254,648.85
11,0.9931870404411764,3.35,0.5148322610294118,733.15
12,0.9949448529411764,2.45,0.5351485906862745,704.2
13,0.9916475183823529,4.05,0.5643841911764707,659.2
14,0.9942612591911765,2.8,0.5587297028186275,668.05
15,0.9955078125,2.3,0.561040900735294,664.5
16,0.9950310202205882,2.45,0.5557674632352942,672.55
17,0.9946518841911764,2.6,0.5598690257352941,666.25
18,0.9943359375,2.9,0.5716356464460783,648.2
19,0.9948357077205883,2.55,0.5453833486519608,687.85
20,0.9949333639705882,2.5,0.5717620251225489,648.15
21,0.9947495404411765,2.55,0.5643861060049019,659.55
22,0.9934685202205882,3.25,0.5644473805147059,658.75
23,0.99443359375,2.85,0.552087162990196,678.75
24,0.994921875,2.6,0.5656326593137255,657.85
25,0.9945427389705882,2.7,0.5767922794117647,640.35
26,0.9950425091911764,2.4,0.5678959865196078,653.9
27,0.9953125,2.4,0.5665287990196078,655.95
28,0.9945542279411764,2.65,0.5174440870098039,729.85
29,0.9944450827205882,2.75,0.5546894148284313,673.65
30,0.9948586856617647,2.45,0.5587718290441177,667.55
31,0.9945427389705882,2.7,0.5366536458333333,701.7
32,0.9947495404411765,2.55,0.557071461397059,671.0
33,0.9945542279411764,2.65,0.5654679840686275,657.8
34,0.9951286764705882,2.4,0.5673043045343137,655.15
35,0.9942727481617647,2.75,0.5636374080882354,660.6
36,0.9940774356617647,2.85,0.5109106924019607,740.15
37,0.9951286764705882,2.4,0.5445810355392157,689.7
38,0.99541015625,2.35,0.5302830116421569,711.0
39,0.99599609375,2.05,0.5314376531862746,709.95
40,0.9944450827205882,2.75,0.5559149050245098,672.55
41,0.9934914981617646,3.15,0.551392080269608,679.2
42,0.9940659466911764,2.9,0.5672889859068626,655.5
43,0.9941636029411764,2.85,0.5683861825980393,653.35
44,0.994921875,2.6,0.5683823529411764,653.35
45,0.9952263327205882,2.35,0.5736500459558824,645.05
46,0.9954216452205882,2.25,0.5781728707107844,638.6
47,0.9938706341911765,3.0,0.571237362132353,649.65
48,0.99482421875,2.65,0.5681238511029413,653.45
49,0.9938706341911765,3.0,0.5658624387254902,657.1
50,0.9947610294117647,2.5,0.5743834252450981,644.25
51,0.9936006433823529,3.05,0.5579350490196079,669.1
52,0.9938821231617647,2.95,0.5665785845588236,655.95
53,0.9948357077205883,2.55,0.5671970741421569,654.95
54,0.99501953125,2.55,0.561898743872549,663.3
55,0.99482421875,2.65,0.5694355085784314,651.9
56,0.9947265625,2.7,0.573833869485294,644.95
57,0.9921128216911764,3.9,0.5620404411764706,662.8
58,0.9943589154411765,2.75,0.5731024050245097,646.3
59,0.9946518841911764,2.6,0.5776539522058824,639.65
