,test_acc,test_error,test_acc_OOD,test_error_OOD
0,0.8655503216911764,67.2,0.3769416360294118,930.8
1,0.9878389246323529,6.0,0.5029124540441177,744.45
2,0.9882180606617647,5.85,0.43648131127450973,843.3
3,0.9931008731617647,3.35,0.49148858762254904,760.75
4,0.9937729779411765,3.05,0.5126302083333333,729.65
5,0.9909409466911765,4.5,0.4253255208333334,858.55
6,0.9933938419117647,3.2,0.5315755208333334,699.9
7,0.9867761948529411,6.55,0.504507506127451,742.7
8,0.9929055606617647,3.45,0.5276960784313725,706.2
9,0.9927217371323529,3.5,0.5208046109068627,716.95
10,0.9921243106617647,3.85,0.558228017769608,660.4
11,0.9936982996323529,3.0,0.5239430147058822,711.65
12,0.9917566636029411,4.0,0.5442516850490197,680.45
13,0.9941636029411764,2.85,0.5437653186274509,682.5
14,0.9931985294117647,3.3,0.5347790287990195,695.15
15,0.9942727481617647,2.75,0.5606924019607844,655.65
16,0.9948701746323529,2.4,0.5565927542892157,661.65
17,0.9936753216911764,3.1,0.5416666666666666,684.4
18,0.9939797794117646,2.9,0.5677045036764705,644.45
19,0.9939797794117646,2.9,0.5405081954656862,686.4
20,0.9940659466911764,2.9,0.5420362285539215,684.3
21,0.9945542279411764,2.65,0.5381357230392156,689.95
22,0.9927217371323529,3.5,0.5255055147058822,708.65
23,0.9946633731617647,2.55,0.5506778492647059,670.7
24,0.9935891544117647,3.1,0.558722043504902,659.15
25,0.9952378216911765,2.3,0.5558517156862746,663.25
26,0.9945542279411764,2.65,0.5620634191176469,655.05
27,0.9936868106617647,3.05,0.571566712622549,640.2
28,0.9946518841911764,2.6,0.5467658547794118,676.6
29,0.9948357077205883,2.55,0.5568378523284313,662.05
30,0.99404296875,3.05,0.5676125919117646,645.55
31,0.9944565716911764,2.7,0.5682195925245098,644.05
32,0.9951401654411764,2.35,0.5717103247549019,638.65
33,0.9946518841911764,2.6,0.5398475796568627,687.2
34,0.9940544577205882,2.95,0.5599915747549019,656.7
35,0.9944565716911764,2.7,0.5620844822303922,653.4
36,0.9950310202205882,2.45,0.5516563265931372,669.1
37,0.99541015625,2.35,0.5616344975490197,653.8
38,0.99423828125,2.95,0.5466279871323529,676.95
39,0.9925896139705882,3.7,0.5287071078431373,703.65
40,0.9938706341911765,3.0,0.5461128982843138,677.2
41,0.9937729779411765,3.05,0.550252757352941,671.3
42,0.9936753216911764,3.1,0.551418887867647,669.05
43,0.9939568014705882,3.0,0.5555759803921568,664.0
44,0.9935891544117647,3.1,0.5678232230392157,644.95
45,0.99462890625,2.75,0.5529622395833335,666.95
46,0.9941636029411764,2.85,0.5467045802696079,676.6
47,0.99423828125,2.95,0.5615770526960785,653.85
48,0.99384765625,3.15,0.5716069240196079,638.95
49,0.9945427389705882,2.7,0.5594247855392156,656.45
50,0.9931008731617647,3.35,0.5600700827205882,656.6
51,0.9931008731617647,3.35,0.5738817401960785,635.05
52,0.9938591452205883,3.05,0.5626474417892157,652.25
53,0.99423828125,2.95,0.5676930147058824,645.25
54,0.99453125,2.8,0.5734547334558824,636.4
55,0.9936753216911764,3.1,0.5678691789215685,644.35
56,0.9944450827205882,2.75,0.554898131127451,663.95
57,0.9928940716911765,3.5,0.5635340073529412,650.8
58,0.9946403952205882,2.65,0.5679572610294118,644.15
59,0.9931870404411764,3.35,0.5735121783088235,635.5
