,test_acc,test_error,test_acc_OOD,test_error_OOD,CIFAR_10C_acc
0,0.4794979319852941,260.85,0.28922909007352937,1068.35,0.43423255404135336
1,0.6892635569852941,154.95,0.3465035232843138,983.15,0.5580283717105263
2,0.7984317555147059,100.6,0.41590647977941175,879.75,0.69382929981203
3,0.7998621323529412,100.0,0.40325903799019613,898.3,0.6312265037593985
4,0.8119829963235293,93.75,0.4345492493872548,851.65,0.6363516212406015
5,0.7779354319852941,111.05,0.40133846507352944,900.5,0.6124955944548872
6,0.8154813878676471,92.4,0.4408586090686275,842.4,0.6683652490601504
7,0.7939395680147059,102.9,0.41318742340686276,883.85,0.6432095864661654
8,0.7969381893382353,101.85,0.4160634957107844,879.2,0.6621681156015038
9,0.8284237132352942,85.95,0.4322342218137255,855.2,0.6911272321428572
10,0.8378848805147058,81.15,0.4443895526960784,837.55,0.6931904957706767
11,0.8215418198529412,88.9,0.44124731924019606,842.25,0.6701935502819548
12,0.8222426470588236,88.85,0.43191636029411773,856.45,0.676023554981203
13,0.8109719669117647,94.35,0.4291456035539215,860.05,0.6649950070488722
14,0.826171875,86.75,0.43903377757352946,844.9,0.6682844807330827
15,0.8137522977941176,92.8,0.4171760110294119,877.8,0.662836289943609
16,0.8421185661764706,78.8,0.44638671875,834.45,0.6891741071428572
17,0.8414349724264707,79.15,0.44646331188725485,834.15,0.6934034304511278
18,0.8426068474264706,78.55,0.44934129901960784,830.0,0.693609022556391
19,0.8425091911764706,78.6,0.4475260416666666,832.65,0.6947324365601504
20,0.8427159926470589,78.45,0.44790900735294115,832.25,0.6928380521616542
21,0.8438648897058825,77.95,0.44938534007352937,829.8,0.69679570018797
22,0.8426815257352942,78.65,0.4491134344362745,830.35,0.6961789238721805
23,0.8444393382352942,77.75,0.4507295496323529,827.9,0.6971114309210527
24,0.8439395680147058,78.05,0.4487228094362745,830.85,0.6962376644736842
25,0.8455135569852942,77.2,0.4511240042892156,827.3,0.6971628289473685
26,0.8454159007352942,77.25,0.45007084865196073,829.05,0.6968544407894737
27,0.8451229319852942,77.4,0.4497606464460785,829.25,0.6964946546052632
28,0.8460018382352942,76.95,0.44925513174019616,829.9,0.6962303218984962
29,0.8455135569852942,77.2,0.4513154871323529,827.1,0.696281719924812
30,0.8458180147058825,76.95,0.45,828.95,0.6949453712406015
31,0.8462086397058824,76.75,0.4512829350490196,827.2,0.6946443256578947
32,0.8458926930147058,77.05,0.451598881740196,826.4,0.6949453712406015
33,0.8460018382352942,76.95,0.44971086090686274,829.15,0.6968030427631579
34,0.8468807444852942,76.5,0.45008999693627444,828.8,0.6929335056390977
35,0.8466854319852942,76.6,0.4516850490196078,826.35,0.6946296405075189
36,0.8465762867647058,76.7,0.4497721354166666,829.3,0.6915898143796992
37,0.8455020680147058,77.25,0.44925513174019605,829.9,0.6917440084586467
38,0.8462833180147058,76.85,0.45144952512254904,826.75,0.6933960878759399
39,0.8404067095588236,79.55,0.45328010110294115,823.95,0.697764920112782
40,0.8424460018382354,78.55,0.45286075367647055,824.45,0.6977796052631579
41,0.8422621783088236,78.6,0.4547449448529412,821.6,0.6972142269736842
42,0.8412856158088236,79.1,0.4521695006127452,825.55,0.6964946546052632
43,0.8416647518382353,78.95,0.45107421875,827.35,0.6958778782894737
44,0.8410903033088235,79.2,0.4534830729166666,823.5,0.6971628289473685
45,0.8414924172794118,78.95,0.45172909007352935,826.25,0.6958705357142857
46,0.8417624080882353,78.9,0.4522058823529411,825.5,0.699945664943609
47,0.8419577205882354,78.8,0.45282820159313736,824.6,0.6998502114661654
48,0.8422277113970589,78.7,0.45382965686274507,823.2,0.6983963815789473
49,0.8408605238970589,79.4,0.4434168198529411,839.1,0.6831385103383458
50,0.8407284007352942,79.65,0.44699371936274507,833.6,0.6865454652255639
51,0.8413373161764707,79.2,0.445492493872549,835.95,0.6866556038533835
52,0.8413028492647058,79.4,0.44623353247549025,834.9,0.6871035009398496
53,0.8404469209558825,79.7,0.44623353247549014,834.9,0.6848493303571428
54,0.8418141084558824,79.0,0.447311580882353,833.15,0.6882929981203008
55,0.8413258272058824,79.25,0.44714499080882353,833.35,0.6884985902255639
56,0.8405790441176471,79.55,0.4472062653186274,833.45,0.6868611959586467
57,0.8410558363970588,79.3,0.4473039215686274,833.4,0.6882416000939849
58,0.8408720128676471,79.4,0.44697457107843136,833.7,0.6897394854323309
59,0.8119255514705882,94.0,0.4204695159313726,873.0,0.675553630169173
