,test_acc,test_error,test_acc_OOD,test_error_OOD,CIFAR_10C_acc
0,0.35322265625,323.65,0.20377221200980394,1194.55,0.2960232612781955
1,0.7564453125,121.7,0.3446767769607843,983.85,0.5894031954887218
2,0.7706456801470588,114.6,0.38078852634803917,929.65,0.6084938909774437
3,0.7837373621323529,107.5,0.39859068627450983,903.75,0.6286859727443609
4,0.7989947150735295,100.4,0.39815027573529416,904.95,0.6483714168233083
5,0.8143439797794118,92.85,0.39909237132352937,903.2,0.6476298167293233
6,0.7916532628676471,103.85,0.3912664675245098,914.35,0.6351694666353384
7,0.8177159926470589,91.25,0.40221162683823525,898.2,0.6340974506578947
8,0.8028147977941176,98.4,0.3707988664215686,945.7,0.601569842575188
9,0.8107881433823529,94.4,0.38461626838235297,924.1,0.6381505521616542
10,0.8113338694852942,93.95,0.3995576746323529,902.15,0.6341047932330827
11,0.8187155330882353,90.7,0.4045917585784314,894.55,0.644545935150376
12,0.8067210477941176,96.4,0.3987859987745098,903.45,0.6411389802631579
13,0.7970760569852942,101.25,0.40604511335784316,893.15,0.6468441611842105
14,0.8169289981617647,91.3,0.40181142769607836,898.55,0.6731232377819548
15,0.8205193014705883,89.6,0.4025256587009804,897.2,0.6539444313909775
16,0.8067440257352942,96.3,0.40977136948529413,885.7,0.6550531602443609
17,0.8261603860294118,86.8,0.4139112285539216,879.65,0.6493332941729323
18,0.8239947150735294,87.6,0.40429878982843137,894.95,0.6465137453007519
19,0.8159064797794118,92.05,0.3982555912990196,904.15,0.6763172579887218
20,0.8156824448529412,91.9,0.40503408394607837,892.9,0.6822133458646616
21,0.8238223805147058,88.35,0.39868451286764706,903.85,0.6408452772556391
22,0.8088120404411765,95.5,0.4041896446078431,895.3,0.6448836936090225
23,0.8219094669117647,88.75,0.4190046721813726,871.7,0.6686662946428572
24,0.8180893841911765,90.75,0.41135110294117644,883.55,0.6461392739661654
25,0.8229319852941176,88.1,0.4024682138480392,897.2,0.6468882166353384
26,0.8221794577205882,88.75,0.40674211090686263,890.8,0.6847245065789473
27,0.8294462316176471,85.25,0.40771292892156863,889.75,0.6627995770676691
28,0.8169519761029411,91.25,0.40980009191176475,885.8,0.6339873120300752
29,0.8163545496323529,91.55,0.38774701286764707,919.75,0.645750117481203
30,0.8218175551470589,89.15,0.4044136795343138,894.8,0.6719263980263158
31,0.8262005974264707,86.95,0.41685240502450976,875.65,0.6579094219924811
32,0.8260799632352942,87.15,0.4058804381127451,893.05,0.6560517504699248
33,0.8288258272058824,85.65,0.4143918504901961,879.75,0.6560664356203008
34,0.8215935202205882,89.05,0.40207184436274507,898.2,0.6611328125
35,0.8252125459558824,87.5,0.40547257965686273,892.75,0.6473581414473685
36,0.8150103400735293,92.2,0.40340839460784317,895.75,0.6377540531015038
37,0.8208180147058824,89.75,0.4078699448529412,889.9,0.6422770794172932
38,0.8281135110294118,85.8,0.4051164215686274,893.65,0.6531734609962406
39,0.8203125,89.75,0.3965686274509804,906.25,0.6688572015977443
40,0.8240808823529411,87.6,0.41173406862745104,883.75,0.6733141447368421
41,0.8240521599264706,88.05,0.39510569852941174,908.05,0.636975740131579
42,0.8328871783088235,83.4,0.41953125,871.1,0.6595321311090225
43,0.8087028952205882,95.65,0.40959712009803917,886.2,0.635257577537594
44,0.8270680147058824,86.55,0.4166283700980392,876.2,0.6767284421992481
45,0.8271771599264707,86.45,0.4154086243872549,878.8,0.678211642387218
46,0.8282111672794118,85.75,0.41683134191176474,875.7,0.6864206414473685
47,0.8283835018382353,85.75,0.4060834099264706,890.95,0.6619698660714285
48,0.8285271139705882,85.5,0.41831533394607845,873.85,0.6649950070488722
49,0.8260569852941175,87.25,0.41490310968137256,878.6,0.6596936677631579
50,0.8301298253676471,84.9,0.4118623621323529,883.2,0.67429804981203
51,0.8283720128676471,85.8,0.41149280024509804,882.3,0.6787109375
52,0.8257180606617647,86.8,0.39823069852941173,903.35,0.6633649553571428
53,0.8268324908088236,86.5,0.40205461090686273,897.9,0.6636292880639099
54,0.8310661764705882,84.2,0.39739583333333334,904.4,0.6641212406015038
55,0.8278090533088236,86.0,0.4019148284313726,897.9,0.6712215108082706
56,0.8292451746323529,84.95,0.42024356617647063,870.05,0.6680862312030075
57,0.8285615808823529,85.3,0.40417049632352936,894.75,0.65234375
58,0.8256548713235293,86.75,0.4071078431372549,889.45,0.6493039238721805
59,0.8290843290441176,84.95,0.4133597579656862,880.85,0.6639597039473685
