1,165,0.574711
2,330,0.461810
3,495,0.452929
4,660,0.505085
5,825,0.526819
6,990,0.554462
7,1155,0.574403
8,1320,0.597228
9,1485,0.627044
10,1650,0.655171
11,1815,0.674081
12,1980,0.652508
13,2145,0.676051
14,2310,0.689237
15,2475,0.695490
16,2640,0.692968
17,2805,0.706226
18,2970,0.681626
19,3135,0.677770
20,3300,0.692718
21,3465,0.672056
22,3630,0.689560
23,3795,0.681127
24,3960,0.698610
25,4125,0.695078
26,4290,0.688236
27,4455,0.697186
28,4620,0.698254
29,4785,0.713120
30,4950,0.708002
31,5115,0.732814
32,5280,0.748394
33,5445,0.786434
34,5610,0.810647
35,5775,0.829733
36,5940,0.838396
37,6105,0.842563
38,6270,0.847402
